# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -985 1 432 2082 1454370 5 16x16/actions/view-media-album-cover.png
DUPTYPE_WITHIN_SAME_TREE -985 1 432 2082 1453851 5 16x16/devices/media-optical.png
DUPTYPE_WITHIN_SAME_TREE -985 1 432 2082 1453683 5 16x16/apps/sound-juicer.png
DUPTYPE_FIRST_OCCURRENCE 1468 1 436 2082 1453593 5 16x16/apps/rhythmbox.png
DUPTYPE_WITHIN_SAME_TREE -1468 1 436 2082 1453380 5 16x16/preferences/preferences-desktop-sound.png
DUPTYPE_FIRST_OCCURRENCE 704 1 445 2082 1454338 5 16x16/actions/appointment-new.png
DUPTYPE_WITHIN_SAME_TREE -704 2 445 2082 1457533 5 16x16/actions/symbolic/appointment-new-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1557 1 448 2082 1453830 5 16x16/devices/media-optical-dvd.png
DUPTYPE_WITHIN_SAME_TREE -1557 2 448 2082 1457496 5 16x16/devices/symbolic/media-optical-dvd-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1237 1 453 2082 1454491 5 16x16/applets/empty.png
DUPTYPE_WITHIN_SAME_TREE -1237 1 453 2082 1453738 5 16x16/mimetypes/unknown.png
DUPTYPE_FIRST_OCCURRENCE 1562 1 454 2082 1453831 5 16x16/devices/multimedia-player.png
DUPTYPE_WITHIN_SAME_TREE -1562 2 454 2082 1457494 5 16x16/devices/symbolic/multimedia-player-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 2248 1 459 2082 1456954 6 22x22/actions/format-justify-fill.png
DUPTYPE_WITHIN_SAME_TREE -2248 2 459 2082 1457979 6 22x22/actions/symbolic/format-justify-fill-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1641 1 463 2082 1453800 5 16x16/mimetypes/application-x-zerosize.png
DUPTYPE_WITHIN_SAME_TREE -1641 1 463 2082 1453791 5 16x16/mimetypes/text-x-katefilelist.png
DUPTYPE_WITHIN_SAME_TREE -1641 1 463 2082 1453722 5 16x16/mimetypes/none.png
DUPTYPE_FIRST_OCCURRENCE 2579 1 463 2082 1456407 6 22x22/actions/window-duplicate.png
